,entity,dates,hits
647,Ozzy Osbourne,2/8/20,14
648,Ozzy Osbourne,2/9/20,10
649,Ozzy Osbourne,2/10/20,6
650,Ozzy Osbourne,2/11/20,6
651,Ozzy Osbourne,2/12/20,5
652,Ozzy Osbourne,2/13/20,9
653,Ozzy Osbourne,2/14/20,168
654,Ozzy Osbourne,2/15/20,171
655,Ozzy Osbourne,2/16/20,95
656,Ozzy Osbourne,2/17/20,1024
657,Ozzy Osbourne,2/18/20,331
658,Ozzy Osbourne,2/19/20,464
659,Ozzy Osbourne,2/20/20,4785
660,Ozzy Osbourne,2/21/20,10000
661,Ozzy Osbourne,2/22/20,4702
662,Ozzy Osbourne,2/23/20,1827
663,Ozzy Osbourne,2/24/20,1619
664,Ozzy Osbourne,2/25/20,350
665,Ozzy Osbourne,2/26/20,156
666,Ozzy Osbourne,2/27/20,105
667,Ozzy Osbourne,2/28/20,100
668,Ozzy Osbourne,2/29/20,200
669,Ozzy Osbourne,3/1/20,125
670,Ozzy Osbourne,3/2/20,60
671,Ozzy Osbourne,3/3/20,72
672,Ozzy Osbourne,3/4/20,20
673,Ozzy Osbourne,3/5/20,33
674,Ozzy Osbourne,3/6/20,73
675,Ozzy Osbourne,3/7/20,43
676,Ozzy Osbourne,3/8/20,42
677,Ozzy Osbourne,3/9/20,150
678,Ozzy Osbourne,3/10/20,245
679,Ozzy Osbourne,3/11/20,139
680,Ozzy Osbourne,3/12/20,61
681,Ozzy Osbourne,3/13/20,85
682,Ozzy Osbourne,3/14/20,38
683,Ozzy Osbourne,3/15/20,16
684,Ozzy Osbourne,3/16/20,14
685,Ozzy Osbourne,3/17/20,57
686,Ozzy Osbourne,3/18/20,6
687,Ozzy Osbourne,3/19/20,36
688,Ozzy Osbourne,3/20/20,37
689,Ozzy Osbourne,3/21/20,26
690,Ozzy Osbourne,3/22/20,15
691,Ozzy Osbourne,3/23/20,17
692,Ozzy Osbourne,3/24/20,43
693,Ozzy Osbourne,3/25/20,22
694,Ozzy Osbourne,3/26/20,14
695,Ozzy Osbourne,3/27/20,14
696,Ozzy Osbourne,3/28/20,6
697,Ozzy Osbourne,3/29/20,10
698,Ozzy Osbourne,3/30/20,7
699,Ozzy Osbourne,3/31/20,18
700,Ozzy Osbourne,4/1/20,35
701,Ozzy Osbourne,4/2/20,159
702,Ozzy Osbourne,4/3/20,108
703,Ozzy Osbourne,4/4/20,20
704,Ozzy Osbourne,4/5/20,7
705,Ozzy Osbourne,4/6/20,17
706,Ozzy Osbourne,4/7/20,14
707,Ozzy Osbourne,4/8/20,13
708,Ozzy Osbourne,4/9/20,7
709,Ozzy Osbourne,4/10/20,9
